Thesis project provisory header
IAGA CODE VSS
Latitude -22.4
Longitude -43.65
Elevation 457.0
Data denoise: No
External field reduction: No
CHAOS model correction: Yes

Date	VSSX	VSSY	VSSZ
2010-09-07 11:59:30	17344.465	-7019.932	-13985.218
2010-09-08 11:59:30	17344.91	-7021.758	-13984.937
2010-09-09 11:59:30	17344.673	-7023.703	-13988.446
2010-09-10 11:59:30	17342.051	-7021.006	-13984.588
2010-09-11 11:59:30	17341.687	-7021.86	-13986.569
2010-09-12 11:59:30	17340.864	-7019.259	-13986.08
2010-09-13 11:59:30	17341.859	-7023.445	-13984.133
2010-09-14 11:59:30	17342.283	-7021.092	-13992.523
2010-09-15 11:59:30	17344.189	-7020.789	-13983.275
2010-09-16 11:59:30	17342.615	-7021.567	-13988.357
2010-09-17 11:59:30	17340.346	-7018.777	-13988.315
2010-09-18 11:59:30	17343.798	-7026.145	-13987.468
2010-09-19 11:59:30	17340.413	-7023.058	-13992.286
2010-09-20 11:59:30	17346.745	-7022.084	-13980.825
2010-09-21 11:59:30	17342.748	-7022.852	-13990.7
2010-09-22 11:59:30	17341.53	-7018.835	-13988.071
2010-09-23 11:59:30	17343.966	-7020.59	-13985.856
2010-09-24 11:59:30	17334.466	-7020.416	-13995.307
2010-09-25 11:59:30	17333.522	-7022.21	-13987.044
2010-09-26 11:59:30	17332.129	-7025.106	-13989.986
2010-09-27 11:59:30	17333.381	-7020.378	-13988.719
2010-09-28 11:59:30	17336.688	-7023.355	-13991.023
2010-09-29 11:59:30	17330.747	-7023.286	-13991.939
2010-09-30 11:59:30	17335.338	-7019.525	-13990.08
2010-10-01 11:59:30	17333.964	-7021.707	-13991.68
2010-10-02 11:59:30	17334.918	-7025.382	-13989.964
2010-10-03 11:59:30	17336.049	-7019.281	-13992.177
2010-10-04 11:59:30	17335.6	-7018.82	-13992.173
2010-10-05 11:59:30	17337.789	-7017.369	-13994.85
2010-10-06 11:59:30	17334.271	-7022.475	-13989.158
2010-10-07 11:59:30	17338.359	-7020.503	-13991.529
2010-10-08 11:59:30	17333.826	-7027.2	-13989.526
2010-10-09 11:59:30	17337.75	-7019.742	-13993.547
2010-10-10 11:59:30	17333.433	-7022.742	-13994.408
2010-10-11 11:59:30	17335.427	-7015.907	-13995.64
2010-10-12 11:59:30	17330.212	-7023.141	-13996.149
2010-10-13 11:59:30	17334.398	-7025.042	-13994.824
2010-10-14 11:59:30	17333.273	-7024.093	-13991.892
2010-10-15 11:59:30	17334.764	-7019.486	-14001.855
2010-10-16 11:59:30	17331.711	-7020.689	-13999.051
2010-10-17 11:59:30	17337.416	-7023.412	-13997.259
2010-10-18 11:59:30	17329.954	-7018.762	-13996.771
2010-10-19 11:59:30	17331.426	-7020.544	-13996.328
2010-10-20 11:59:30	17329.385	-7020.318	-13997.992
2010-10-21 11:59:30	17329.855	-7023.853	-13994.033
2010-10-22 11:59:30	17333.878	-7022.022	-13996.816
2010-10-23 11:59:30	17334.612	-7020.134	-13998.415
2010-10-24 11:59:30	17332.58	-7026.407	-14000.956
2010-10-25 11:59:30	17333.768	-7023.317	-13998.526
2010-10-26 11:59:30	17327.544	-7022.787	-14001.299
2010-10-27 11:59:30	17331.101	-7021.754	-13996.81
2010-10-28 11:59:30	17329.662	-7019.767	-13998.4
2010-10-29 11:59:30	17327.878	-7022.674	-14000.285
2010-10-30 11:59:30	17334.821	-7016.696	-13997.979
2010-10-31 11:59:30	17331.431	-7026.031	-14002.074
